,County Name
0,"Autauga County, AL"
1,"Baldwin County, AL"
2,"Barbour County, AL"
3,"Bibb County, AL"
4,"Blount County, AL"
5,"Bullock County, AL"
6,"Butler County, AL"
7,"Calhoun County, AL"
8,"Chambers County, AL"
9,"Cherokee County, AL"
10,"Chilton County, AL"
11,"Choctaw County, AL"
12,"Clarke County, AL"
13,"Clay County, AL"
14,"Cleburne County, AL"
15,"Coffee County, AL"
16,"Colbert County, AL"
17,"Conecuh County, AL"
18,"Coosa County, AL"
19,"Covington County, AL"
20,"Crenshaw County, AL"
21,"Cullman County, AL"
22,"Dale County, AL"
23,"Dallas County, AL"
24,"DeKalb County, AL"
25,"Elmore County, AL"
26,"Escambia County, AL"
27,"Etowah County, AL"
28,"Fayette County, AL"
29,"Franklin County, AL"
30,"Geneva County, AL"
31,"Greene County, AL"
32,"Hale County, AL"
33,"Henry County, AL"
34,"Houston County, AL"
35,"Jackson County, AL"
36,"Jefferson County, AL"
37,"Lamar County, AL"
38,"Lauderdale County, AL"
39,"Lawrence County, AL"
40,"Lee County, AL"
41,"Limestone County, AL"
42,"Lowndes County, AL"
43,"Macon County, AL"
44,"Madison County, AL"
45,"Marengo County, AL"
46,"Marion County, AL"
47,"Marshall County, AL"
48,"Mobile County, AL"
49,"Monroe County, AL"
50,"Montgomery County, AL"
51,"Morgan County, AL"
52,"Perry County, AL"
53,"Pickens County, AL"
54,"Pike County, AL"
55,"Randolph County, AL"
56,"Russell County, AL"
57,"St. Clair County, AL"
58,"Shelby County, AL"
59,"Sumter County, AL"
60,"Talladega County, AL"
61,"Tallapoosa County, AL"
62,"Tuscaloosa County, AL"
63,"Walker County, AL"
64,"Washington County, AL"
65,"Wilcox County, AL"
66,"Winston County, AL"
67,"Aleutians East Borough, AK"
68,"Aleutians West Census Area, AK"
69,"Municipality of Anchorage, AK"
70,"Bethel Census Area, AK"
71,"Bristol Bay Borough, AK"
72,"Denali Borough, AK"
73,"Dillingham Census Area, AK"
74,"Fairbanks North Star Borough, AK"
75,"Haines Borough, AK"
76,"Hoonah-Angoon Census Area, AK"
77,"City and Borough of Juneau, AK"
78,"Kenai Peninsula Borough, AK"
79,"Ketchikan Gateway Borough, AK"
80,"Kodiak Island Borough, AK"
81,"Kusilvak Census Area, AK"
82,"Lake and Peninsula Borough, AK"
83,"Matanuska-Susitna Borough, AK"
84,"Nome Census Area, AK"
85,"North Slope Borough, AK"
86,"Northwest Arctic Borough, AK"
87,"Petersburg Borough, AK"
88,"Prince of Wales - Hyder Census Area, AK"
89,"City and Borough of Sitka, AK"
90,"Municipality of Skagway, AK"
91,"Southeast Fairbanks Census Area, AK"
92,"Valdez-Cordova Census Area, AK"
93,"City and Borough of Wrangell, AK"
94,"City and Borough of Yakutat, AK"
95,"Yukon-Koyukuk Census Area, AK"
96,"Apache County, AZ"
97,"Cochise County, AZ"
98,"Coconino County, AZ"
99,"Gila County, AZ"
100,"Graham County, AZ"
101,"Greenlee County, AZ"
102,"La Paz County, AZ"
103,"Maricopa County, AZ"
104,"Mohave County, AZ"
105,"Navajo County, AZ"
